
'OWNER'||','||'TABLE_NAME'||','||'CONSTRAINT_NAME'||','||'COLUMN_NAME'||','||'POSITION'||','||'R_OWN
OWNER,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,DELETE_RULE

CON.OWNER||','||CON.TABLE_NAME||','||CON.CONSTRAINT_NAME||','||COL.COLUMN_NAME||','||COL.POSITION||','||CON.R_OWNER||','||RCON.TABLE_NAME||','||RCOL.COLUMN_NAME||','||NVL(CON.DELETE_RULE,'NOACTION')
APEX_030200,WWV_FLOW_INSTALL_CHECKS,WWV_FLOW_INSTALL_CHECKS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,NO ACTION
APEX_030200,WWV_FLOW_INSTALL_CHECKS,WWV_FLOW_INSTALL_CHECKS_FK2,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,NO ACTION
APEX_030200,WWV_FLOW_INSTALL_CHECKS,WWV_FLOW_INSTALL_CHECKS_FK3,INSTALL_ID,1,APEX_030200,WWV_FLOW_INSTALL,ID,CASCADE
APEX_030200,WWV_FLOW_INSTALL_SCRIPTS,WWV_FLOW_INSTALL_SCRIPTS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,NO ACTION
APEX_030200,WWV_FLOW_INSTALL_SCRIPTS,WWV_FLOW_INSTALL_SCRIPTS_FK2,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,NO ACTION
APEX_030200,WWV_FLOW_INSTALL_SCRIPTS,WWV_FLOW_INSTALL_SCRIPTS_FK3,INSTALL_ID,1,APEX_030200,WWV_FLOW_INSTALL,ID,CASCADE
APEX_030200,WWV_FLOW_ITEMS,WWV_FLOW_ITEMS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_LANGUAGE_MAP,WWV_FLOW_LANG_FLOW_ID_FK,PRIMARY_LANGUAGE_FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_LISTS,WWV_FLOW_LISTS_FLOW_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_LISTS_OF_VALUES$,WWV_FLOW_LOV_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_LIST_ITEMS,PARENT_LIST_ITEM_FK,PARENT_LIST_ITEM_ID,1,APEX_030200,WWV_FLOW_LIST_ITEMS,ID,CASCADE
APEX_030200,WWV_FLOW_LIST_ITEMS,WWV_FLOW_LIST_ITEMS_FK,LIST_ID,1,APEX_030200,WWV_FLOW_LISTS,ID,CASCADE
APEX_030200,WWV_FLOW_LIST_OF_VALUES_DATA,WWV_FLOW_LOV_DATA_FK,LOV_ID,1,APEX_030200,WWV_FLOW_LISTS_OF_VALUES$,ID,CASCADE
APEX_030200,WWV_FLOW_LIST_TEMPLATES,WWV_FLOW_LIST_TEMPLATE_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_LOCK_PAGE,SYS_C0019263,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_MAIL_ATTACHMENTS,WWV_FLOW_MAIL_ATTACHMENTS_FK1,MAIL_ID,1,APEX_030200,WWV_FLOW_MAIL_QUEUE,ID,CASCADE
APEX_030200,WWV_FLOW_MENUS,WWV_FLOW_MENUS_FLOW_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_MENU_OPTIONS,WWV_FLOW_OPT_MENUS_FK,MENU_ID,1,APEX_030200,WWV_FLOW_MENUS,ID,CASCADE
APEX_030200,WWV_FLOW_MENU_TEMPLATES,WWV_FLOW_MENUS_T_FLOW_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_MESSAGES$,WWV_FLOW_MESSAGES_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_MODELS,WWV_FLOW_MODELS_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_MODEL_PAGES,WWV_FLOW_MODEL_PAGES_FK,MODEL_ID,1,APEX_030200,WWV_FLOW_MODELS,ID,CASCADE
APEX_030200,WWV_FLOW_MODEL_PAGES,WWV_FLOW_MODEL_PAGES_FK2,PARENT_PAGE_ID,1,APEX_030200,WWV_FLOW_MODEL_PAGES,ID,CASCADE
APEX_030200,WWV_FLOW_MODEL_PAGE_COLS,WWV_FLOW_MODEL_PAGE_COLS_FK,MODEL_REGION_ID,1,APEX_030200,WWV_FLOW_MODEL_PAGE_REGIONS,ID,CASCADE
APEX_030200,WWV_FLOW_MODEL_PAGE_REGIONS,WWV_FLOW_MPR_FK,MODEL_PAGE_ID,1,APEX_030200,WWV_FLOW_MODEL_PAGES,ID,CASCADE
