
'OWNER'||','||'TRIGGER_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'TRI
OWNER,TRIGGER_NAME,TABLE_OWNER,TABLE_NAME,TRIGGER_TYPE,TRIGGERING_EVENT,STATUS
AGGREGATE,AGG_USER_PRIV_TRG,AGGREGATE,AGG_USER_PRIV,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_UPRIV_HIST_TRG,AGGREGATE,AGG_USER_PRIV_HIST,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_USER_UP_TRG,AGGREGATE,AGG_USER_UP,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AUDIT_ACCESS_TRG,AGGREGATE,AUDIT_ACCESS,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,CODE_TRG,AGGREGATE,CODE,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,HELP_ASSIGN_TRG,AGGREGATE,HELP_ASSIGN,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,HELP_REQUEST_TRG,AGGREGATE,HELP_REQUEST,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,MAX_ERROR_LOG_TRG,AGGREGATE,MAX_ERROR_LOG,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,PRIV_GROUP_TRG,AGGREGATE,PRIV_GROUP,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,PRIV_GROUP_GRANTS_TRG,AGGREGATE,PRIV_GROUP_GRANTS,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,PRIV_LIST_TRG,AGGREGATE,PRIV_LIST,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,PRIV_PROFILE_GRANTS_TRG,AGGREGATE,PRIV_PROFILE_GRANTS,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,PRIV_USER_GRANTS_TRG,AGGREGATE,PRIV_USER_GRANTS,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,RDR_ACTION_TRG,AGGREGATE,RDR_ACTION,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,RDR_BATCH_TRG,AGGREGATE,RDR_BATCH,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,RDR_PREFIX_TRG,AGGREGATE,RDR_PREFIX,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,RPT_DEBUG_TRG,AGGREGATE,RPT_DEBUG,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
AGGREGATE,RPT_NAME_TRG,AGGREGATE,RPT_NAME,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
AGGREGATE,RPT_PARAMETER_TRG,AGGREGATE,RPT_PARAMETER,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
AGGREGATE,RPT_PARM_PROCESS_TRG,AGGREGATE,RPT_PARM_PROCESS,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,RPT_REQUEST_TRG,AGGREGATE,RPT_REQUEST,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
AGGREGATE,RPT_REQUEST_VAR_TRG,AGGREGATE,RPT_REQUEST_VAR,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
AGGREGATE,RPT_SQL_TRG,AGGREGATE,RPT_SQL,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
AGGREGATE,UIIAST_TRG,AGGREGATE,UII_ASSETS,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
