
'SEQUENCE_OWNER'||','||'SEQUENCE_NAME'||','||'MIN_VALUE'||','||'MAX_VALUE'||','||'INCREMENT_BY'
SEQUENCE_OWNER,SEQUENCE_NAME,MIN_VALUE,MAX_VALUE,INCREMENT_BY,CYCLE_FLAG,CACHE_SIZE,LAST_NUMBER

SEQUENCE_OWNER||','||SEQUENCE_NAME||','||MIN_VALUE||','||MAX_VALUE||','||INCREMENT_BY||','||CYCLE_FLAG||','||CACHE_SIZE||','||LAST_NUMBER
ACTS,ACTS_T_PMC_LIM_SEQ,1,999999999999999999999999999,1,N,20,572
ACTS,ACTS_T_SORTIE_SEQ,1,999999999999999999999999999,1,N,20,626905
ACTS,ACTS_T_SYS_CONFIG_HIST_SEQ,1,999999999999999999999999999,1,N,20,26980
ACTS,ACTS_T_SYS_CONFIG_SEQ,1,999999999999999999999999999,1,N,20,23233
ACTS,ACTS_T_SYS_INV_SEQ,1,999999999999999999999999999,1,N,20,76555
ACTS,ACTS_T_SYS_MOD_SEQ,1,999999999999999999999999999,1,N,20,5398
ACTS,ACTS_T_SYS_PMI_SEQ,1,999999999999999999999999999,1,N,20,2169
ACTS,ACTS_T_TEST_SEQ,1,999999999999999999999999999,1,N,20,50408
ACTS,ACTS_T_TIME_SEQ,1,999999999999999999999999999,1,N,20,48225
ACTS,ACTS_UPLOADS_HIST_SEQ,1,999999999999999999999999999,1,N,20,241
ACTS,ACTS_UPLOADS_SEQ,1,999999999999999999999999999,1,N,20,101
ACTS,ACTS_VALIDATOR_STATUS_SEQ,1,999999999999999999999999999,1,N,20,17915
ACTS,CONFIG131TEMP_SEQ,1,999999999999999999999999999,1,N,20,2381
ACTS,CONFIG131_SEQ,1,999999999999999999999999999,1,N,20,2381
ACTS,CONFIG184_SEQ,1,999999999999999999999999999,1,N,20,1801
ACTS,EVT_NOTIFY_SEQ,1,999999999999999999999999999,1,N,20,1
ACTS,EVT_OPERATORS_SEQ,1,999999999999999999999999999,1,N,20,1
ACTS,EVT_PROFILE_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,IMDS_CONFIG131_SEQ,1,999999999999999999999999999,1,N,20,2381
ACTS,IMDS_CONFIG184_SEQ,1,999999999999999999999999999,1,N,20,1801
ACTS,JIM_DEMO2_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ROME_D_MAINT_REC_SEQ,1,999999999999999999999999999,1,N,20,281
ACTS,ROME_D_MAINT_SEQ,1,999999999999999999999999999,1,N,20,321
ACTS,ROME_D_SORTIE_SEQ,1,999999999999999999999999999,1,N,20,2201
ACTS,ROME_D_SYS_CONFIG_SEQ,1,999999999999999999999999999,1,N,20,41
