
'OWNER'||','||'INDEX_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'UNIQUENESS'||','||'INDEX
OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,UNIQUENESS,INDEX_TYPE,COLUMN_NAME,COLUMN_POSITION,DESCEND

I.OWNER||','||I.INDEX_NAME||','||I.TABLE_OWNER||','||I.TABLE_NAME||','||I.UNIQUENESS||','||I.INDEX_TYPE||','||IC.COLUMN_NAME||','||IC.COLUMN_POSITION||','||IC.DESCEND
ACTS,IDX_SYSMTX_SPSJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,IDX_SYSMTX_SPSJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SERNO,3,ASC
ACTS,IDX_SYSMTX_SPSJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,JOB_ID,4,ASC
ACTS,IDX_SYSMTX_SYSJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_SYSMTX_SYSJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,JOB_ID,2,ASC
ACTS,IDX_SYSMTX_SYSSNJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_SYSMTX_SYSSNJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SERNO,2,ASC
ACTS,IDX_SYSMTX_SYSSNJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,JOB_ID,3,ASC
ACTS,IDX_SYSMTX_SYSSNJOBAU,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_SYSMTX_SYSSNJOBAU,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SERNO,2,ASC
ACTS,IDX_SYSMTX_SYSSNJOBAU,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,JOB_ID,3,ASC
ACTS,IDX_SYSMTX_SYSSNJOBAU,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,ASSIGNED_UNIT,4,ASC
ACTS,PK_ACTS_SYS_METRICS,ACTS,ACTS_SYS_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SYS_PMI,ACTS,ACTS_SYS_PMI,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,IDX_SSMTX_SYSAUTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_SSMTX_SYSAUTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,ASSIGNED_UNIT,2,ASC
ACTS,IDX_SSMTX_SYSAUTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,T_PERIOD,3,ASC
ACTS,IDX_SSMTX_SYSPNSNTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_SSMTX_SYSPNSNTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,IDX_SSMTX_SYSPNSNTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,SERNO,3,ASC
ACTS,IDX_SSMTX_SYSPNSNTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,T_PERIOD,4,ASC
ACTS,IDX_SSMTX_SYSPNTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_SSMTX_SYSPNTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,IDX_SSMTX_SYSPNTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,T_PERIOD,3,ASC
ACTS,IDX_SSMTX_SYSTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_SSMTX_SYSTPER,ACTS,ACTS_SYS_SERIAL_METRICS,NONUNIQUE,NORMAL,T_PERIOD,2,ASC
ACTS,PK_ACTS_SYS_SERIAL_METRICS,ACTS,ACTS_SYS_SERIAL_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SYS_SUMMARY_METRICS,ACTS,ACTS_SYS_SUMMARY_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_S_BASE_DICT,ACTS,ACTS_S_BASE_DICT,UNIQUE,NORMAL,DUMMY_PK,1,ASC
